year,category1,retailer,avg_sku_count,avg_brand_count,avg_category_coverage_pct,avg_exclusive_sku_count,avg_common_sku_count,matched_sku_count_promo_price_index,matched_sku_count_regular_price_index,price_index_promo_price_index,price_index_regular_price_index
2024,Candies / Biscuits / Snacks,WELLCOME,166.33333333333334,70.0,0.7676356548502983,1.6666666666666667,164.66666666666666,164.66666666666666,164.66666666666666,98.90940547347822,100.17870982048117
2024,Dairy / Soy products / Eggs,AEON,1.0,1.0,0.004887591875283699,0.0,1.0,1.0,1.0,102.35179157558491,98.5204674110417
2024,Dairy / Soy products / Eggs,DCHFOOD,8.666666666666666,6.333333333333333,0.042813653371324555,0.0,8.666666666666666,8.666666666666666,8.666666666666666,99.74834392653533,95.78875739859494
2024,Dairy / Soy products / Eggs,JASONS,174.0,47.666666666666664,0.8452891073682481,0.3333333333333333,173.66666666666666,173.66666666666666,173.66666666666666,99.71571783713262,100.24673792091932
2024,Dairy / Soy products / Eggs,PARKNSHOP,175.33333333333334,52.333333333333336,0.8550344753059993,27.0,148.33333333333334,148.33333333333334,148.33333333333334,101.11340667764415,100.66527337442874
2024,Dairy / Soy products / Eggs,WATSONS,6.666666666666667,2.0,0.03277978268520824,0.0,6.666666666666667,6.666666666666667,6.666666666666667,99.16968175813555,91.28392072332214
2024,Dairy / Soy products / Eggs,WELLCOME,175.0,47.0,0.8507291414540562,0.3333333333333333,174.66666666666666,174.66666666666666,174.66666666666666,99.33476052369167,99.60684729139916
2024,Drinks,AEON,2.6666666666666665,2.6666666666666665,0.014559407483231234,0.3333333333333333,2.3333333333333335,2.3333333333333335,2.3333333333333335,111.2022484804556,98.39156901371341
2024,Drinks,DCHFOOD,9.0,4.333333333333333,0.04979275143576861,0.0,9.0,8.666666666666666,8.666666666666666,104.73829173989486,93.7710189240734
2024,Drinks,JASONS,146.33333333333334,62.0,0.7932937115162657,0.0,146.33333333333334,146.33333333333334,146.33333333333334,100.37033924381701,101.1232425741433
2024,Drinks,PARKNSHOP,156.66666666666666,62.333333333333336,0.8575121511547948,31.333333333333332,125.33333333333333,125.33333333333333,125.33333333333333,99.84115228101,99.15379022138164
2024,Drinks,WATSONS,8.0,3.6666666666666665,0.04344288086819827,0.0,8.0,8.0,8.0,105.83053908540926,103.01522156893247
2024,Drinks,WELLCOME,148.0,61.333333333333336,0.8035883552593784,1.3333333333333333,146.66666666666666,146.66666666666666,146.66666666666666,99.24259583080398,99.81091878854564
2024,Household / Pet food and care,AEON,8.0,6.0,0.03941746404284769,0.0,8.0,8.0,8.0,104.93075148791564,93.12084872970262
2024,Household / Pet food and care,JASONS,150.0,57.666666666666664,0.7298248781368478,1.3333333333333333,148.66666666666666,148.66666666666666,148.66666666666666,99.72205232744837,100.4008397806948
2024,Household / Pet food and care,MANNINGS,1.0,1.0,0.004927183005355961,0.0,1.0,1.0,1.0,103.49226801869399,89.61697439567155
2024,Household / Pet food and care,PARKNSHOP,175.0,67.0,0.8619486068484082,43.333333333333336,131.66666666666666,131.66666666666666,131.66666666666666,100.44013258112305,100.65082182744567
