sku,product_name,brand,category1,category2,category3
P000000024,Grill-A-Corn - Barbecue Flavoured 80g,Calbee,Candies / Biscuits / Snacks,Snacks,Corn chips / Tortilla chips
P000000053,Cottage Fries Tomato Ketchup Flavour Chips 100g,Wise,Candies / Biscuits / Snacks,Snacks,Potato chips
P000003432,Cottage Fries Hot & Spicy Flavour Chips 100g,Wise,Candies / Biscuits / Snacks,Snacks,Potato chips
P000003427,Hand Cooked English Crisps - Sweet Chilli & Red Pepper 150g,Tyrrells,Candies / Biscuits / Snacks,Snacks,Potato chips
P000003649,Original Chocolate Biscuits 200g,Arnott's Tim Tam,Candies / Biscuits / Snacks,Biscuits,Sandwich crackers
P000003212,Chocochips Cookie 111g,Morinaga,Candies / Biscuits / Snacks,Biscuits,Cookies
P000001867,Currant Cookies 125g,Kjeldsens,Candies / Biscuits / Snacks,Biscuits,Cookies
P000001887,Oat Cookies with Raisins 27g x 6,Quaker,Candies / Biscuits / Snacks,Biscuits,Cookies
P000000990,Butter Cookies 908g,Kjeldsens,Candies / Biscuits / Snacks,Biscuits,Cookies
P000001868,Butter Cookies 125g,Kjeldsens,Candies / Biscuits / Snacks,Biscuits,Cookies
P000001020,Butter Cookies 681g,Kjeldsens,Candies / Biscuits / Snacks,Biscuits,Cookies
P000003211,Pure Butter Shortbread 150g,Walkers,Candies / Biscuits / Snacks,Biscuits,Cookies
P000000449,Quadratini Napolitaner Bite Size Wafer Cookies 125g,Loacker,Candies / Biscuits / Snacks,Biscuits,Wafers
P000003646,Minis Cremkakao - Crispy Wafers with Cocoa and Chocolate Cream Filling 200g,Loacker,Candies / Biscuits / Snacks,Biscuits,Wafers
P000000652,Cream Wafers - Strawberry Flavour 200g,Garden,Candies / Biscuits / Snacks,Biscuits,Wafers
P000000037,Cream Wafers - Peanut Flavour  200g,Garden,Candies / Biscuits / Snacks,Biscuits,Wafers
P000000793,Cream Wafers - Chocolate Flavour 200g,Garden,Candies / Biscuits / Snacks,Biscuits,Wafers
P000003650,Soybean Milk Wafers 16pcs 112g,Bourbon,Candies / Biscuits / Snacks,Biscuits,Wafers
P000000967,Butter Cookies 90g,Kjeldsens,Candies / Biscuits / Snacks,Biscuits,Cookies
P000001844,Chocolate Chip Cookies (Original) 95g,Chips Ahoy,Candies / Biscuits / Snacks,Biscuits,Cookies
P000000945,Koala's March Biscuit - Chocolate 37g,Lotte,Candies / Biscuits / Snacks,Biscuits,Sandwich crackers
P000003648,Le-mond Puff Sandwich (Lemon Flavoured Cream) 170g,Julie's,Candies / Biscuits / Snacks,Biscuits,Sandwich crackers
P000001807,Sisisic Sandwich Biscuit - Peanut Flavoured (Tray Pack 50g x 8 packs) 400g,Garden,Candies / Biscuits / Snacks,Biscuits,Sandwich crackers
P000001804,Sisisic Sandwich Biscuit - Cheese Flavoured (Tray Pack 47g x 8 packs) 376g,Garden,Candies / Biscuits / Snacks,Biscuits,Sandwich crackers
P000001318,Lemon Puff 350g,Garden,Candies / Biscuits / Snacks,Biscuits,Sandwich crackers
P000001801,Lemon Puff (Tray Pack 24g x 12 packs) 288g,Garden,Candies / Biscuits / Snacks,Biscuits,Sandwich crackers
P000001415,Lemon Puff 175g,Garden,Candies / Biscuits / Snacks,Biscuits,Sandwich crackers
P000000431,Petit Cheese Crackers 40g,Bourbon,Candies / Biscuits / Snacks,Biscuits,Sandwich crackers
P000000650,Cheese Flavored Sandwich Crackers (Tray Pack) 324g,Ritz,Candies / Biscuits / Snacks,Biscuits,Sandwich crackers
P000003651,Cheese Flavored Sandwich Crackers 243g,Ritz,Candies / Biscuits / Snacks,Biscuits,Sandwich crackers
P000001605,Chocolate Sandwich Cookies with Vanilla Cream 133g,Oreo,Candies / Biscuits / Snacks,Biscuits,Sandwich crackers
P000000840,Chocolate Sandwich Cookies with Vanilla Cream (Tray Pack 28.5g x 9 packs) 256.5g,Oreo,Candies / Biscuits / Snacks,Biscuits,Sandwich crackers
P000000115,Club 8 Orange 176g,McVitie's,Candies / Biscuits / Snacks,Biscuits,Sandwich crackers
P000001672,Koala's March Biscuit - Strawberry - Family Pack 195g,Lotte,Candies / Biscuits / Snacks,Biscuits,Sandwich crackers
P000001122,Koala's March Biscuit - Chocolate - Family Pack 195g,Lotte,Candies / Biscuits / Snacks,Biscuits,Sandwich crackers
P000002555,Digestive Biscuits (Milk Chocolate) 300g,McVitie's,Candies / Biscuits / Snacks,Biscuits,Others
P000000792,Quadratini Napolitaner Bite Size Wafer Cookies 250g,Loacker,Candies / Biscuits / Snacks,Biscuits,Wafers
P000002339,Pretz Salad Biscuit Sticks 8 bags 118g,Glico,Candies / Biscuits / Snacks,Biscuits,Biscuit sticks
P000001943,Pretz Salad Biscuit Sticks 69g,Glico,Candies / Biscuits / Snacks,Biscuits,Biscuit sticks
P000000637,Pocky Chocolate Coated Biscuit Sticks 52g,Glico,Candies / Biscuits / Snacks,Biscuits,Biscuit sticks
P000001289,Chocolate Fingers (Chocolate Coated Biscuit)  70g,Garden,Candies / Biscuits / Snacks,Biscuits,Biscuit sticks
P000003657,Biscuit Sticks (Family Pack) 153g,Four Seas,Candies / Biscuits / Snacks,Biscuits,Biscuit sticks
P000000042,Pretz Roast Biscuit Sticks 62g,Glico,Candies / Biscuits / Snacks,Biscuits,Biscuit sticks
P000003656,Pepero Stick (Almond & Chocolate) 32g,Lotte,Candies / Biscuits / Snacks,Biscuits,Biscuit sticks
P000002556,Digestive Biscuits (Dark Chocolate) 300g,McVitie's,Candies / Biscuits / Snacks,Biscuits,Others
P000000159,Animal Biscuits - Seaweed Flavour 37g,Ginbis,Candies / Biscuits / Snacks,Biscuits,Others
P000001319,Malkist Crackers 350g,Garden,Candies / Biscuits / Snacks,Biscuits,Others
P000001791,Malkist Crackers (Tray Pack - 12 portions) 324g,Garden,Candies / Biscuits / Snacks,Biscuits,Others
P000001290,Malkist Crackers 175g,Garden,Candies / Biscuits / Snacks,Biscuits,Others
P000001274,Almond Cracker 133g,EDO Pack Haitai,Candies / Biscuits / Snacks,Biscuits,Others
